#=====================================================
# File created:        Tue-25-Feb-2025-at-11-27-17AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.142676
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2399.8110  0.2574 
   00001    0.6820   -3640.5380  0.2648 
   00002    0.6228   -4406.9964  0.2743 
   00003    0.5904   -4897.7619  0.2843 
   00004    0.5640   -5344.0346  0.2928 
   00005    0.5460   -5735.9055  0.3016 
   00006    0.5388   -6113.5278  0.3057 
   00007    0.5176   -6376.0853  0.2990 
   00008    0.4888   -6560.2777  0.3013 
   00009    0.4844   -6678.5729  0.3042 
   00010    0.4812   -6867.4621  0.3137 
   00011    0.4872   -7025.3751  0.3201 
   00012    0.4500   -7115.9387  0.3292 
   00013    0.4604   -7160.0625  0.3295 
   00014    0.4588   -7317.3469  0.3318 
   00015    0.4564   -7401.5736  0.3390 
   00016    0.4484   -7462.8773  0.3351 
   00017    0.4572   -7533.6358  0.3316 
   00018    0.4496   -7593.9630  0.3389 
   00019    0.4436   -7708.2492  0.3364 
   00020    0.4616   -7737.9607  0.3420 
   00021    0.4420   -7767.6068  0.3436 
   00022    0.4436   -7816.7289  0.3433 
   00023    0.4388   -7857.0254  0.3409 
   00024    0.4432   -7851.4464  0.3441 
   00025    0.4416   -7869.7296  0.3447 
   00026    0.4280   -7904.0740  0.3462 
   00027    0.4324   -7885.2546  0.3489 
   00028    0.4312   -7948.5584  0.3495 
   00029    0.4276   -7977.4426  0.3571 
   00030    0.4276   -7961.8895  0.3578 
   00031    0.4524   -7987.4028  0.3603 
   00032    0.4236   -8030.8672  0.3631 
   00033    0.4256   -8034.7461  0.3593 
   00034    0.4440   -8028.6152  0.3624 
   00035    0.4352   -7987.5963  0.3543 
   00036    0.4124   -8010.1216  0.3523 
   00037    0.4316   -8036.4947  0.3595 
   00038    0.4356   -7992.6438  0.3526 
   00039    0.4216   -8028.2157  0.3496 
   00040    0.4520   -8074.5731  0.3480 
   00041    0.4220   -8042.9167  0.3437 
   00042    0.4200   -8074.6675  0.3391 
   00043    0.4236   -8084.2381  0.3396 
   00044    0.4252   -8065.0564  0.3372 
   00045    0.4216   -8110.2490  0.3330 
   00046    0.4252   -8109.6869  0.3297 
   00047    0.4136   -8152.3233  0.3325 
   00048    0.4168   -8202.5802  0.3288 
   00049    0.4256   -8222.0379  0.3347 
   00050    0.4212   -8198.8369  0.3381 
