#=====================================================
# File created:        Tue-25-Feb-2025-at-01-15-10PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.134559
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2526.1058  0.0892 
   00001    0.6688   -3725.3835  0.0433 
   00002    0.6184   -4522.8465  0.0388 
   00003    0.5908   -5111.9080  0.0557 
   00004    0.5332   -5529.9354  0.1090 
   00005    0.5416   -5923.1501  0.0916 
   00006    0.4984   -6145.9904  0.0583 
   00007    0.5136   -6325.4532  0.0912 
   00008    0.5000   -6481.7092  0.0674 
   00009    0.5000   -6655.3769  0.0917 
   00010    0.4940   -6852.5791  0.0752 
   00011    0.4960   -6979.8689  0.0914 
   00012    0.4764   -7086.2660  0.0685 
   00013    0.4648   -7227.6575  0.0878 
   00014    0.4572   -7318.3946  0.0588 
   00015    0.4500   -7408.9124  0.0769 
   00016    0.4428   -7421.6691  0.0501 
   00017    0.4504   -7486.3681  0.0735 
   00018    0.4576   -7554.5390  0.0622 
   00019    0.4308   -7583.0118  0.0921 
   00020    0.4416   -7602.4205  0.0641 
   00021    0.4392   -7694.8676  0.1165 
   00022    0.4392   -7697.3161  0.0897 
   00023    0.4436   -7741.1578  0.0844 
   00024    0.4468   -7723.1495  0.0923 
   00025    0.4412   -7750.0326  0.0891 
   00026    0.4456   -7727.8934  0.1034 
   00027    0.4384   -7795.4275  0.0595 
   00028    0.4392   -7807.0719  0.0924 
   00029    0.4340   -7794.5063  0.0809 
   00030    0.4504   -7842.3412  0.0994 
   00031    0.4184   -7905.5225  0.1057 
   00032    0.4404   -7877.6995  0.0845 
   00033    0.4484   -7908.0373  0.1022 
   00034    0.4224   -7913.0775  0.1144 
   00035    0.4384   -7925.0217  0.1061 
   00036    0.4276   -7949.2281  0.0538 
   00037    0.4292   -7955.6720  0.1005 
   00038    0.4232   -7963.4648  0.0526 
   00039    0.4588   -7955.6999  0.1968 
   00040    0.4224   -7978.5315  0.0737 
   00041    0.4340   -7979.7069  0.1218 
   00042    0.4356   -7980.2939  0.0752 
   00043    0.4192   -8023.1448  0.0815 
   00044    0.4188   -7993.6725  0.0652 
   00045    0.4232   -8053.7867  0.1139 
   00046    0.4288   -8065.2953  0.0765 
   00047    0.4200   -8056.9433  0.1193 
   00048    0.4356   -8075.8745  0.0905 
   00049    0.4316   -8082.3287  0.0634 
   00050    0.4072   -8087.5954  0.0861 
