OptCythonOMPRun.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.063, Time: 0.134559 s
         1019343 function calls (1004004 primitive calls) in 0.656 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       37    0.002    0.000    0.697    0.019 __init__.py:1(<module>)
    303/1    0.002    0.000    0.657    0.657 {built-in method builtins.exec}
        1    0.000    0.000    0.657    0.657 OptCythonOMPRun.py:1(<module>)
    364/4    0.001    0.000    0.519    0.130 <frozen importlib._bootstrap>:1349(_find_and_load)
    360/4    0.001    0.000    0.519    0.130 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    345/5    0.001    0.000    0.518    0.104 <frozen importlib._bootstrap>:911(_load_unlocked)
    294/4    0.000    0.000    0.516    0.129 <frozen importlib._bootstrap_external>:989(exec_module)
   863/10    0.001    0.000    0.515    0.051 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   436/16    0.000    0.000    0.488    0.031 {built-in method builtins.__import__}
   474/73    0.000    0.000    0.458    0.006 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.300    0.300 pyplot.py:1(<module>)
1127/1022    0.010    0.000    0.236    0.000 {built-in method builtins.__build_class__}
      105    0.002    0.000    0.179    0.002 artist.py:159(_update_set_signature_and_docstring)
      104    0.000    0.000    0.177    0.002 artist.py:126(__init_subclass__)
        1    0.000    0.000    0.139    0.139 figure.py:1(<module>)
      117    0.000    0.000    0.139    0.001 artist.py:1837(kwdoc)
        1    0.132    0.132    0.137    0.137 OptCythonOMPRun.py:115(main)
        1    0.000    0.000    0.135    0.135 colorbar.py:1(<module>)
      117    0.003    0.000    0.118    0.001 artist.py:1598(pprint_setters)
      294    0.001    0.000    0.104    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     4252    0.007    0.000    0.097    0.000 artist.py:1470(get_valid_values)
     7303    0.037    0.000    0.069    0.000 inspect.py:876(cleandoc)
      294    0.000    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
        1    0.000    0.000    0.068    0.068 contour.py:1(<module>)
     7315    0.003    0.000    0.066    0.000 inspect.py:857(getdoc)
        1    0.000    0.000    0.062    0.062 collections.py:1(<module>)
        1    0.000    0.000    0.061    0.061 backend_bases.py:1(<module>)
        1    0.000    0.000    0.059    0.059 rcsetup.py:1(<module>)
        1    0.000    0.000    0.052    0.052 text.py:1(<module>)
        1    0.000    0.000    0.050    0.050 _axes.py:1(<module>)
      223    0.000    0.000    0.048    0.000 artist.py:1422(__init__)
      223    0.015    0.000    0.047    0.000 artist.py:1442(get_aliases)
        1    0.000    0.000    0.043    0.043 __config__.py:1(<module>)
  345/343    0.000    0.000    0.042    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       46    0.000    0.000    0.038    0.001 <frozen importlib._bootstrap_external>:1287(create_module)
       46    0.036    0.001    0.037    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.035    0.035 colors.py:1(<module>)
      294    0.034    0.000    0.034    0.000 {method 'read' of '_io.BufferedReader' objects}
      294    0.034    0.000    0.034    0.000 {built-in method _io.open_code}
      294    0.004    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        1    0.000    0.000    0.030    0.030 _base.py:1(<module>)
        1    0.000    0.000    0.030    0.030 patches.py:1(<module>)
      223    0.009    0.000    0.030    0.000 artist.py:1517(get_setters)
        1    0.000    0.000    0.028    0.028 axes3d.py:1(<module>)
      358    0.003    0.000    0.028    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     6792    0.003    0.000    0.026    0.000 __init__.py:280(_compile)
        1    0.000    0.000    0.026    0.026 index_tricks.py:1(<module>)
      294    0.026    0.000    0.026    0.000 {built-in method marshal.loads}
     5768    0.002    0.000    0.026    0.000 __init__.py:174(search)
        9    0.000    0.000    0.023    0.003 _base.py:729(__init_subclass__)
        3    0.001    0.000    0.023    0.008 core.py:1(<module>)
      355    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      355    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        1    0.000    0.000    0.021    0.021 defmatrix.py:1(<module>)
        1    0.000    0.000    0.021    0.021 _fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.021    0.021 Image.py:1(<module>)
      201    0.000    0.000    0.020    0.000 _compiler.py:740(compile)
        1    0.000    0.000    0.020    0.020 linalg.py:1(<module>)
      615    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
       30    0.004    0.000    0.018    0.001 __init__.py:847(_rc_params_in_file)
        1    0.000    0.000    0.018    0.018 _pickle.py:1(<module>)
      136    0.000    0.000    0.018    0.000 _docstring.py:38(__call__)
  126/115    0.000    0.000    0.017    0.000 _docstring.py:79(__call__)
    46/36    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
    46/36    0.003    0.000    0.015    0.000 {built-in method _imp.exec_dynamic}
     9934    0.015    0.000    0.015    0.000 {method 'search' of 're.Pattern' objects}
  376/304    0.000    0.000    0.014    0.000 typing.py:392(inner)
        1    0.000    0.000    0.014    0.014 art3d.py:1(<module>)
        1    0.000    0.000    0.014    0.014 numerictypes.py:1(<module>)
       12    0.000    0.000    0.014    0.001 _docstring.py:51(__missing__)
      650    0.000    0.000    0.014    0.000 inspect.py:3333(signature)
      650    0.000    0.000    0.013    0.000 inspect.py:3071(from_callable)
  777/650    0.002    0.000    0.013    0.000 inspect.py:2491(_signature_from_callable)
      447    0.013    0.000    0.013    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.013    0.013 _type_aliases.py:1(<module>)
        2    0.000    0.000    0.013    0.006 core.py:206(read_style_directory)
      201    0.000    0.000    0.012    0.000 _parser.py:969(parse)
  414/201    0.001    0.000    0.012    0.000 _parser.py:452(_parse_sub)
  450/204    0.004    0.000    0.011    0.000 _parser.py:512(_parse)
        1    0.000    0.000    0.011    0.011 geo.py:1(<module>)
    93684    0.011    0.000    0.011    0.000 {method 'startswith' of 'str' objects}
