#=====================================================
# File created:        Tue-25-Feb-2025-at-05-11-25PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.014109
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2571.7535  0.2574 
   00001    0.6892   -3719.9003  0.2611 
   00002    0.6220   -4442.7961  0.2706 
   00003    0.5780   -5023.9957  0.2752 
   00004    0.5448   -5546.9190  0.2876 
   00005    0.5332   -5943.3878  0.2951 
   00006    0.5160   -6223.5091  0.3032 
   00007    0.5016   -6445.1398  0.3007 
   00008    0.4928   -6687.0790  0.3042 
   00009    0.4956   -6818.0316  0.3133 
   00010    0.4848   -6981.0486  0.3103 
   00011    0.4648   -7068.5472  0.3160 
   00012    0.4692   -7141.2407  0.3192 
   00013    0.5000   -2571.7535  0.2574 
   00014    0.6888   -3851.9530  0.2672 
   00015    0.6224   -4631.0652  0.2662 
   00016    0.5648   -5173.3159  0.2728 
   00017    0.5436   -5561.7669  0.2825 
   00018    0.5372   -5887.9814  0.2859 
   00019    0.5232   -6182.9802  0.2845 
   00020    0.5188   -6347.1657  0.2887 
   00021    0.4976   -6491.7866  0.2872 
   00022    0.4836   -6636.0289  0.2930 
   00023    0.4876   -6734.2188  0.2984 
   00024    0.4756   -6890.7168  0.3036 
   00025    0.4816   -7044.0847  0.3081 
   00026    0.5000   -2571.7535  0.2574 
   00027    0.6784   -3804.3651  0.2635 
   00028    0.6220   -4564.5348  0.2591 
   00029    0.5888   -5097.4040  0.2657 
   00030    0.5416   -5458.9289  0.2748 
   00031    0.5376   -5783.3503  0.2663 
   00032    0.5228   -6052.1024  0.2733 
   00033    0.5088   -6253.6186  0.2668 
   00034    0.4896   -6496.2390  0.2539 
   00035    0.4904   -6653.7379  0.2535 
   00036    0.4860   -6852.6637  0.2534 
   00037    0.4852   -7027.6022  0.2624 
   00038    0.4788   -7158.8592  0.2537 
   00039    0.5000   -2571.7535  0.2574 
   00040    0.6824   -3758.3657  0.2664 
   00041    0.6232   -4504.3395  0.2685 
   00042    0.5952   -5007.1598  0.2756 
   00043    0.5584   -5438.2583  0.2922 
   00044    0.5380   -5709.9768  0.3010 
   00045    0.5196   -5979.9159  0.3017 
   00046    0.5288   -6181.5429  0.3171 
   00047    0.5052   -6395.8962  0.3226 
   00048    0.4984   -6618.1972  0.3175 
   00049    0.4884   -6805.6785  0.3146 
   00050    0.4860   -6882.8008  0.3096 
