#=====================================================
# File created:        Mon-24-Feb-2025-at-07-10-59PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.556624
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2666.8242  0.2607 
   00001    0.6432   -3649.0953  0.2737 
   00002    0.5268   -4184.1679  0.2756 
   00003    0.5008   -4486.7923  0.2829 
   00004    0.4548   -4760.2214  0.2750 
   00005    0.4364   -4976.0142  0.2768 
   00006    0.4260   -5141.0363  0.2712 
   00007    0.4168   -5275.8755  0.2652 
   00008    0.4016   -5356.3746  0.2688 
   00009    0.3928   -5415.5450  0.2569 
   00010    0.3940   -5514.9042  0.2702 
   00011    0.3884   -5644.2749  0.2637 
   00012    0.3692   -5699.8725  0.2907 
   00013    0.3556   -5727.5345  0.2816 
   00014    0.3736   -5807.7168  0.2818 
   00015    0.3536   -5906.9143  0.2821 
   00016    0.3624   -5915.2724  0.2744 
   00017    0.3720   -5891.5771  0.2716 
   00018    0.3484   -5904.4917  0.2687 
   00019    0.3540   -5909.5252  0.2661 
   00020    0.3484   -5950.0198  0.2621 
   00021    0.3456   -6000.1818  0.2771 
   00022    0.3516   -5962.6422  0.2818 
   00023    0.3416   -5888.4994  0.2843 
   00024    0.3348   -5965.5915  0.2817 
   00025    0.3596   -5930.2128  0.2908 
   00026    0.3504   -6006.3062  0.2938 
   00027    0.3352   -6024.0529  0.2958 
   00028    0.3612   -6074.8269  0.2987 
   00029    0.3260   -6011.0128  0.3037 
   00030    0.3412   -6094.8531  0.3007 
   00031    0.3340   -6160.2043  0.2986 
   00032    0.3272   -6090.6226  0.3066 
   00033    0.3408   -6233.4610  0.3095 
   00034    0.3232   -6265.8185  0.3121 
   00035    0.3240   -6255.1262  0.3078 
   00036    0.3204   -6345.5903  0.2992 
   00037    0.3072   -6336.8199  0.3010 
   00038    0.3312   -6342.0190  0.3003 
   00039    0.3292   -6378.0129  0.3002 
   00040    0.3172   -6344.7804  0.3012 
   00041    0.3216   -6387.2562  0.3053 
   00042    0.3052   -6390.3885  0.3051 
   00043    0.3148   -6397.8316  0.3034 
   00044    0.3260   -6373.8390  0.3000 
   00045    0.2972   -6366.5617  0.3001 
   00046    0.3200   -6413.2829  0.3045 
   00047    0.3136   -6433.8905  0.3048 
   00048    0.3180   -6482.1372  0.3102 
   00049    0.2980   -6508.2364  0.3145 
   00050    0.2968   -6508.0414  0.3136 
