OptimisedNumPy.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.315, Time: 2.556624 s
         4043099 function calls (4027760 primitive calls) in 3.129 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    303/1    0.002    0.000    3.130    3.130 {built-in method builtins.exec}
        1    0.000    0.000    3.130    3.130 OptimisedNumPy.py:1(<module>)
        1    0.000    0.000    2.577    2.577 OptimisedNumPy.py:243(main)
   377500    1.459    0.000    2.485    0.000 OptimisedNumPy.py:131(one_energy)
       50    0.043    0.001    1.680    0.034 OptimisedNumPy.py:193(MC_step)
       51    0.027    0.001    0.890    0.017 OptimisedNumPy.py:154(all_energy)
       37    0.001    0.000    0.747    0.020 __init__.py:1(<module>)
   377551    0.152    0.000    0.691    0.000 fromnumeric.py:2177(sum)
    363/3    0.001    0.000    0.553    0.184 <frozen importlib._bootstrap>:1349(_find_and_load)
    359/3    0.001    0.000    0.553    0.184 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    344/4    0.001    0.000    0.551    0.138 <frozen importlib._bootstrap>:911(_load_unlocked)
    294/4    0.000    0.000    0.551    0.138 <frozen importlib._bootstrap_external>:989(exec_module)
    860/7    0.001    0.000    0.550    0.079 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   436/16    0.000    0.000    0.520    0.032 {built-in method builtins.__import__}
   377602    0.197    0.000    0.517    0.000 fromnumeric.py:71(_wrapreduction)
   474/73    0.000    0.000    0.484    0.007 <frozen importlib._bootstrap>:1390(_handle_fromlist)
   378357    0.326    0.000    0.326    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.288    0.288 pyplot.py:1(<module>)
   377755    0.287    0.000    0.287    0.000 {method 'reduce' of 'numpy.ufunc' objects}
1127/1022    0.009    0.000    0.213    0.000 {built-in method builtins.__build_class__}
      105    0.002    0.000    0.157    0.001 artist.py:159(_update_set_signature_and_docstring)
      104    0.000    0.000    0.154    0.001 artist.py:126(__init_subclass__)
        1    0.000    0.000    0.141    0.141 figure.py:1(<module>)
      117    0.000    0.000    0.122    0.001 artist.py:1837(kwdoc)
        1    0.000    0.000    0.120    0.120 colorbar.py:1(<module>)
      294    0.001    0.000    0.109    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
      117    0.002    0.000    0.104    0.001 artist.py:1598(pprint_setters)
     4252    0.005    0.000    0.085    0.000 artist.py:1470(get_valid_values)
        1    0.000    0.000    0.077    0.077 rcsetup.py:1(<module>)
        1    0.000    0.000    0.074    0.074 contour.py:1(<module>)
      294    0.000    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
  344/342    0.000    0.000    0.071    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.068    0.068 backend_bases.py:1(<module>)
       45    0.000    0.000    0.068    0.002 <frozen importlib._bootstrap_external>:1287(create_module)
       45    0.066    0.001    0.067    0.001 {built-in method _imp.create_dynamic}
     7303    0.033    0.000    0.063    0.000 inspect.py:876(cleandoc)
     7315    0.003    0.000    0.058    0.000 inspect.py:857(getdoc)
        1    0.000    0.000    0.057    0.057 text.py:1(<module>)
        1    0.000    0.000    0.056    0.056 __config__.py:1(<module>)
        1    0.000    0.000    0.051    0.051 _axes.py:1(<module>)
      357    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.049    0.049 colors.py:1(<module>)
      354    0.000    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      354    0.001    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      614    0.002    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      223    0.000    0.000    0.042    0.000 artist.py:1422(__init__)
      223    0.012    0.000    0.041    0.000 artist.py:1442(get_aliases)
        1    0.000    0.000    0.041    0.041 collections.py:1(<module>)
     1449    0.039    0.000    0.039    0.000 {built-in method posix.stat}
     1438    0.000    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      294    0.036    0.000    0.036    0.000 {built-in method _io.open_code}
      294    0.036    0.000    0.036    0.000 {method 'read' of '_io.BufferedReader' objects}
      455    0.000    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      493    0.000    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
   378204    0.033    0.000    0.033    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.031    0.031 Image.py:1(<module>)
        1    0.000    0.000    0.030    0.030 _base.py:1(<module>)
        1    0.000    0.000    0.030    0.030 patches.py:1(<module>)
   442185    0.028    0.000    0.030    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.028    0.028 axes3d.py:1(<module>)
      294    0.003    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      223    0.008    0.000    0.027    0.000 artist.py:1517(get_setters)
        3    0.003    0.001    0.026    0.009 core.py:1(<module>)
     6792    0.003    0.000    0.024    0.000 __init__.py:280(_compile)
      294    0.024    0.000    0.024    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.024    0.024 _fontconfig_pattern.py:1(<module>)
     5768    0.002    0.000    0.023    0.000 __init__.py:174(search)
        9    0.000    0.000    0.023    0.003 _base.py:729(__init_subclass__)
        1    0.000    0.000    0.021    0.021 _pickle.py:1(<module>)
   377551    0.020    0.000    0.020    0.000 fromnumeric.py:2172(_sum_dispatcher)
      201    0.000    0.000    0.020    0.000 _compiler.py:740(compile)
        1    0.000    0.000    0.019    0.019 index_tricks.py:1(<module>)
        1    0.000    0.000    0.018    0.018 multiarray.py:1(<module>)
        1    0.000    0.000    0.018    0.018 overrides.py:1(<module>)
    45/35    0.000    0.000    0.018    0.001 <frozen importlib._bootstrap_external>:1295(exec_module)
       30    0.003    0.000    0.017    0.001 __init__.py:847(_rc_params_in_file)
      136    0.000    0.000    0.017    0.000 _docstring.py:38(__call__)
    45/35    0.005    0.000    0.017    0.000 {built-in method _imp.exec_dynamic}
  126/115    0.000    0.000    0.017    0.000 _docstring.py:79(__call__)
        1    0.000    0.000    0.015    0.015 defmatrix.py:1(<module>)
        1    0.000    0.000    0.014    0.014 art3d.py:1(<module>)
        1    0.000    0.000    0.014    0.014 linalg.py:1(<module>)
       12    0.000    0.000    0.014    0.001 _docstring.py:51(__missing__)
      650    0.000    0.000    0.013    0.000 inspect.py:3333(signature)
      650    0.000    0.000    0.013    0.000 inspect.py:3071(from_callable)
     9934    0.013    0.000    0.013    0.000 {method 'search' of 're.Pattern' objects}
  777/650    0.002    0.000    0.013    0.000 inspect.py:2491(_signature_from_callable)
        2    0.000    0.000    0.012    0.006 core.py:206(read_style_directory)
      447    0.012    0.000    0.012    0.000 {built-in method builtins.dir}
      201    0.000    0.000    0.012    0.000 _parser.py:969(parse)
  414/201    0.001    0.000    0.011    0.000 _parser.py:452(_parse_sub)
        1    0.000    0.000    0.011    0.011 geo.py:1(<module>)
        1    0.000    0.000    0.011    0.011 numerictypes.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _axes.py:46(Axes)
  450/204    0.004    0.000    0.011    0.000 _parser.py:512(_parse)
    93682    0.010    0.000    0.010    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.010    0.010 axis.py:1(<module>)
        1    0.000    0.000    0.009    0.009 offsetbox.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.009    0.009 __init__.py:240(_check_versions)
      636    0.003    0.000    0.009    0.000 inspect.py:2387(_signature_from_function)
        1    0.000    0.000    0.009    0.009 legend.py:1(<module>)
        1    0.000    0.000    0.009    0.009 font_manager.py:1(<module>)
      973    0.001    0.000    0.008    0.000 __init__.py:711(__setitem__)
148981/147947    0.008    0.000    0.008    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.008    0.008 lines.py:1(<module>)
     6024    0.004    0.000    0.008    0.000 inspect.py:2733(__init__)
        1    0.000    0.000    0.008    0.008 polar.py:1(<module>)
        8    0.000    0.000    0.008    0.001 __init__.py:73(import_module)
        8    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap>:1375(_gcd_import)
        1    0.000    0.000    0.008    0.008 image.py:1(<module>)
    77818    0.008    0.000    0.008    0.000 {method 'lstrip' of 'str' objects}
       51    0.000    0.000    0.008    0.000 __init__.py:226(compile)
        1    0.000    0.000    0.008    0.008 textpath.py:1(<module>)
  376/304    0.000    0.000    0.008    0.000 typing.py:392(inner)
    69788    0.007    0.000    0.007    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.007    0.007 py3k.py:1(<module>)
        2    0.000    0.000    0.007    0.004 ElementTree.py:1(<module>)
      437    0.000    0.000    0.007    0.000 artist.py:1536(number_of_parameters)
      201    0.000    0.000    0.007    0.000 _compiler.py:573(_code)
        1    0.000    0.000    0.007    0.007 secrets.py:1(<module>)
        1    0.000    0.000    0.007    0.007 category.py:1(<module>)
       94    0.000    0.000    0.007    0.000 __init__.py:1391(_preprocess_data)
      954    0.000    0.000    0.007    0.000 artist.py:1542(is_alias)
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
    54438    0.006    0.000    0.006    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.006    0.006 legend.py:342(Legend)
        1    0.000    0.000    0.006    0.006 scale.py:1(<module>)
        7    0.000    0.000    0.006    0.001 legend_handler.py:171(__init__)
       12    0.006    0.000    0.006    0.000 legend_handler.py:62(__init__)
        1    0.000    0.000    0.006    0.006 legend_handler.py:524(__init__)
16104/16091    0.005    0.000    0.006    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.006    0.006 axis3d.py:1(<module>)
10842/10808    0.002    0.000    0.005    0.000 {built-in method builtins.hasattr}
       51    0.002    0.000    0.005    0.000 OptimisedNumPy.py:173(get_order)
     4252    0.002    0.000    0.005    0.000 artist.py:1555(aliased_name)
 1009/201    0.002    0.000    0.005    0.000 _compiler.py:37(_compile)
        2    0.000    0.000    0.005    0.003 common.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _parser.py:1(<module>)
3634/3203    0.002    0.000    0.005    0.000 {built-in method __new__ of type object at 0x102ff72a8}
      792    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.005    0.005 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.005    0.005 quiver.py:1(<module>)
        1    0.000    0.000    0.005    0.005 ticker.py:1(<module>)
       32    0.001    0.000    0.005    0.000 enum.py:528(__new__)
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:377(_mac_os_check)
        1    0.000    0.000    0.004    0.004 cm.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ExifTags.py:1(<module>)
      588    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        2    0.000    0.000    0.004    0.002 shape_base.py:1(<module>)
        1    0.001    0.001    0.004    0.004 polynomial.py:453(polyfit)
     8914    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
        1    0.000    0.000    0.004    0.004 mathtext.py:1(<module>)
       48    0.000    0.000    0.004    0.000 __init__.py:1347(_add_data_doc)
        1    0.000    0.000    0.004    0.004 helpers.py:1(<module>)
      433    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       18    0.000    0.000    0.004    0.000 rcsetup.py:799(validate_cycler)
      294    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      875    0.003    0.000    0.004    0.000 inspect.py:3019(__init__)
        1    0.000    0.000    0.004    0.004 common.py:8(pyparsing_common)
       55    0.002    0.000    0.004    0.000 {built-in method builtins.eval}
       33    0.003    0.000    0.003    0.000 {built-in method _io.open}
      359    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
      317    0.001    0.000    0.003    0.000 overrides.py:142(decorator)
        3    0.000    0.000    0.003    0.001 patches.py:2211(__init_subclass__)
        6    0.000    0.000    0.003    0.001 patches.py:2253(pprint_styles)
        1    0.000    0.000    0.003    0.003 transforms.py:1(<module>)
    33885    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.003    0.003 artist.py:1(<module>)
        1    0.000    0.000    0.003    0.003 hmac.py:1(<module>)
      344    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       37    0.001    0.000    0.003    0.000 __init__.py:355(namedtuple)
      248    0.000    0.000    0.003    0.000 typing.py:1260(__init__)
        2    0.000    0.000    0.003    0.002 __init__.py:12(__getattr__)
   104/92    0.000    0.000    0.003    0.000 typing.py:515(__getitem__)
        1    0.000    0.000    0.003    0.003 _mathtext.py:1(<module>)
       92    0.000    0.000    0.003    0.000 typing.py:694(Union)
     3227    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     7315    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
      431    0.002    0.000    0.003    0.000 enum.py:254(__set_name__)
        1    0.000    0.000    0.003    0.003 table.py:1(<module>)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _internal.py:1(<module>)
        1    0.000    0.000    0.003    0.003 cm.py:32(_gen_cmap_registry)
      481    0.000    0.000    0.003    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.003    0.003 fromnumeric.py:1(<module>)
       12    0.000    0.000    0.003    0.000 core.py:1076(parse_string)
      712    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
       60    0.000    0.000    0.003    0.000 __init__.py:829(_open_file_or_url)
       33    0.000    0.000    0.003    0.000 contextlib.py:132(__enter__)
        1    0.000    0.000    0.003    0.003 cbook.py:1(<module>)
        1    0.000    0.000    0.003    0.003 font_manager.py:1564(_load_fontmanager)
        1    0.000    0.000    0.003    0.003 decoder.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _secondary_axes.py:1(<module>)
     6450    0.001    0.000    0.003    0.000 enum.py:726(__call__)
        1    0.000    0.000    0.002    0.002 font_manager.py:970(json_load)
      317    0.000    0.000    0.002    0.000 function_base.py:497(add_newdoc)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
        1    0.002    0.002    0.002    0.002 linalg.py:2191(lstsq)
        1    0.000    0.000    0.002    0.002 _array_like.py:1(<module>)
        1    0.000    0.000    0.002    0.002 dates.py:1(<module>)
      588    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       50    0.002    0.000    0.002    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
       13    0.000    0.000    0.002    0.000 rcsetup.py:401(validate_font_properties)
       10    0.000    0.000    0.002    0.000 _fontconfig_pattern.py:80(parse_fontconfig_pattern)
        2    0.000    0.000    0.002    0.001 exceptions.py:1(<module>)
        1    0.000    0.000    0.002    0.002 scanner.py:1(<module>)
        2    0.000    0.000    0.002    0.001 version.py:1(<module>)
       37    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        1    0.000    0.000    0.002    0.002 ImagePalette.py:1(<module>)
      409    0.000    0.000    0.002    0.000 rcsetup.py:307(validate_color)
      792    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.002    0.002 backend_tools.py:1(<module>)
      633    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      663    0.002    0.000    0.002    0.000 {built-in method builtins.max}
      703    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       15    0.000    0.000    0.002    0.000 typing.py:2800(__new__)
      526    0.001    0.000    0.002    0.000 enum.py:390(__setitem__)
        1    0.000    0.000    0.002    0.002 _dtype_like.py:1(<module>)
   306/12    0.000    0.000    0.002    0.000 core.py:776(_parseNoCache)
      111    0.000    0.000    0.002    0.000 rcsetup.py:88(f)
    72/12    0.000    0.000    0.002    0.000 core.py:3861(parseImpl)
