#=====================================================
# File created:        Mon-24-Feb-2025-at-10-20-08PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.698412
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2446.5921  0.2661 
   00001    0.6440   -3552.9138  0.2648 
   00002    0.5596   -4136.2041  0.2634 
   00003    0.4840   -4498.4240  0.2642 
   00004    0.4592   -4806.1874  0.2631 
   00005    0.4396   -4991.0875  0.2578 
   00006    0.4232   -5149.4456  0.2677 
   00007    0.3840   -5444.8196  0.2702 
   00008    0.3948   -5550.8321  0.2749 
   00009    0.3900   -5630.0850  0.2762 
   00010    0.3636   -5645.1355  0.2693 
   00011    0.3728   -5687.1114  0.2719 
   00012    0.3716   -5643.3595  0.2699 
   00013    0.3720   -5723.4260  0.2676 
   00014    0.3524   -5827.9442  0.2672 
   00015    0.3484   -5875.8813  0.2665 
   00016    0.3280   -5876.0991  0.2714 
   00017    0.3540   -5861.8449  0.2666 
   00018    0.3352   -5880.2838  0.2625 
   00019    0.3624   -6035.6240  0.2650 
   00020    0.3400   -5990.6141  0.2639 
   00021    0.3632   -6075.6194  0.2575 
   00022    0.3336   -6057.8764  0.2569 
   00023    0.3304   -6099.8698  0.2601 
   00024    0.3316   -6111.1996  0.2643 
   00025    0.3280   -6073.3543  0.2695 
   00026    0.3260   -6152.4517  0.2655 
   00027    0.3240   -6189.2817  0.2596 
   00028    0.3164   -6234.9035  0.2549 
   00029    0.3248   -6292.0905  0.2527 
   00030    0.3268   -6316.1418  0.2614 
   00031    0.3244   -6391.5485  0.2626 
   00032    0.2976   -6334.4037  0.2551 
   00033    0.3192   -6261.0665  0.2591 
   00034    0.3604   -6277.5921  0.2600 
   00035    0.3224   -6307.2795  0.2595 
   00036    0.3200   -6321.2375  0.2624 
   00037    0.3032   -6330.5492  0.2635 
   00038    0.3028   -6300.4674  0.2639 
   00039    0.3396   -6317.4454  0.2601 
   00040    0.3080   -6371.2803  0.2669 
   00041    0.3188   -6371.4207  0.2628 
   00042    0.3052   -6443.2617  0.2600 
   00043    0.3192   -6480.6426  0.2554 
   00044    0.3092   -6379.9603  0.2605 
   00045    0.3236   -6395.3411  0.2591 
   00046    0.2916   -6333.9384  0.2526 
   00047    0.3360   -6355.8542  0.2638 
   00048    0.2972   -6368.9986  0.2611 
   00049    0.3148   -6344.8599  0.2672 
   00050    0.3156   -6332.6118  0.2578 
