OptNumbNoPar.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.267, Time: 0.698412 s
         9704223 function calls (9151302 primitive calls) in 3.807 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    775/1    0.004    0.000    3.811    3.811 {built-in method builtins.exec}
        1    0.052    0.052    3.121    3.121 OptNumbNoPar.py:220(main)
        3    0.000    0.000    3.068    1.023 dispatcher.py:388(_compile_for_args)
    122/3    0.001    0.000    2.989    0.996 dispatcher.py:907(compile)
     35/3    0.000    0.000    2.989    0.996 dispatcher.py:124(compile)
     35/3    0.000    0.000    2.989    0.996 dispatcher.py:131(_compile_cached)
     35/3    0.001    0.000    2.989    0.996 dispatcher.py:146(_compile_core)
     35/3    0.000    0.000    2.988    0.996 compiler.py:725(compile_extra)
 1723/328    0.002    0.000    2.794    0.009 compiler_lock.py:32(_acquire_compile_lock)
     49/3    0.000    0.000    2.784    0.928 compiler.py:439(compile_extra)
     49/3    0.000    0.000    2.783    0.928 compiler.py:508(_compile_bytecode)
     49/3    0.000    0.000    2.783    0.928 compiler.py:462(_compile_core)
     49/3    0.002    0.000    2.782    0.927 compiler_machinery.py:342(run)
  1274/78    0.018    0.000    2.781    0.036 compiler_machinery.py:268(_runPass)
 3822/234    0.002    0.000    2.759    0.012 compiler_machinery.py:272(check)
     49/9    0.000    0.000    2.072    0.230 typed_passes.py:105(run_pass)
     49/9    0.001    0.000    2.072    0.230 typed_passes.py:68(type_inference_stage)
     49/9    0.001    0.000    2.065    0.229 typeinfer.py:1072(propagate)
   100/19    0.002    0.000    2.065    0.109 typeinfer.py:147(propagate)
  724/245    0.003    0.000    2.048    0.008 typeinfer.py:585(resolve)
  724/245    0.000    0.000    2.044    0.008 typeinfer.py:1539(resolve_call)
  768/249    0.000    0.000    2.044    0.008 context.py:189(resolve_function_type)
  768/249    0.001    0.000    2.043    0.008 context.py:233(_resolve_user_function_type)
   343/89    0.001    0.000    2.026    0.023 typeinfer.py:575(__call__)
   119/34    0.000    0.000    2.008    0.059 functions.py:534(get_call_type)
   119/34    0.000    0.000    2.007    0.059 dispatcher.py:348(get_call_template)
    49/32    0.001    0.000    1.906    0.060 typed_passes.py:437(run_pass)
  743/360    0.007    0.000    1.863    0.005 functions.py:281(get_call_type)
2777/1260    0.002    0.000    1.835    0.001 templates.py:349(apply)
  672/253    0.001    0.000    1.812    0.007 templates.py:607(generic)
  672/253    0.001    0.000    1.809    0.007 templates.py:698(_get_impl)
    97/41    0.001    0.000    1.800    0.044 templates.py:749(_build_impl)
    49/32    0.000    0.000    1.219    0.038 lowering.py:182(lower)
       86    0.001    0.000    1.165    0.014 __init__.py:1(<module>)
    49/32    0.001    0.000    1.048    0.033 lowering.py:218(lower_normal_function)
    49/32    0.001    0.000    1.037    0.032 lowering.py:235(lower_function_body)
