#=====================================================
# File created:        Mon-24-Feb-2025-at-10-22-08PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.030384
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2537.5064  0.2572 
   00001    0.6520   -3549.2467  0.2656 
   00002    0.5516   -4109.4208  0.2759 
   00003    0.4868   -4489.3321  0.2704 
   00004    0.4724   -4819.1788  0.2736 
   00005    0.4304   -4995.0001  0.2750 
   00006    0.4252   -5213.7174  0.2839 
   00007    0.3936   -5265.7432  0.2853 
   00008    0.3844   -5451.1765  0.2778 
   00009    0.3796   -5546.0772  0.2922 
   00010    0.3820   -5655.6202  0.2950 
   00011    0.3676   -5801.5642  0.2986 
   00012    0.3532   -5853.5998  0.2961 
   00013    0.3620   -5821.3286  0.3021 
   00014    0.3664   -5835.8489  0.3107 
   00015    0.3616   -5882.4215  0.3122 
   00016    0.3440   -5945.2397  0.3130 
   00017    0.3484   -5984.6559  0.3174 
   00018    0.3396   -5968.1916  0.3062 
   00019    0.3604   -6005.1260  0.3096 
   00020    0.3480   -6000.5488  0.3016 
   00021    0.3328   -6061.1842  0.3094 
   00022    0.3244   -6140.0221  0.3151 
   00023    0.3336   -6226.0749  0.3210 
   00024    0.3508   -6346.8100  0.3193 
   00025    0.3184   -6298.7589  0.3277 
   00026    0.3252   -6331.9287  0.3247 
   00027    0.3184   -6355.6553  0.3205 
   00028    0.3012   -6328.7433  0.3273 
   00029    0.3184   -6448.9771  0.3332 
   00030    0.3108   -6516.9593  0.3339 
   00031    0.2808   -6539.7238  0.3328 
   00032    0.3016   -6583.5670  0.3397 
   00033    0.2888   -6640.4927  0.3489 
   00034    0.2808   -6552.9877  0.3483 
   00035    0.2952   -6503.7403  0.3413 
   00036    0.2944   -6512.9796  0.3403 
   00037    0.2940   -6473.7848  0.3321 
   00038    0.3096   -6538.0195  0.3313 
   00039    0.3036   -6527.6994  0.3414 
   00040    0.2996   -6462.9381  0.3313 
   00041    0.2992   -6465.2928  0.3342 
   00042    0.2988   -6456.4780  0.3318 
   00043    0.2952   -6477.2416  0.3349 
   00044    0.2896   -6485.6935  0.3299 
   00045    0.3032   -6522.2985  0.3367 
   00046    0.2956   -6456.7310  0.3278 
   00047    0.2928   -6505.9619  0.3287 
   00048    0.3040   -6557.4098  0.3334 
   00049    0.3148   -6615.2458  0.3361 
   00050    0.3092   -6569.5159  0.3443 
