OptNumbPar.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.336, Time: 2.030384 s
         17964982 function calls (16789681 primitive calls) in 6.719 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    788/1    0.005    0.000    6.724    6.724 {built-in method builtins.exec}
        1    0.000    0.000    6.724    6.724 OptNumbPar.py:1(<module>)
        1    0.033    0.033    6.024    6.024 OptNumbPar.py:210(main)
        3    0.000    0.000    5.990    1.997 dispatcher.py:388(_compile_for_args)
    179/3    0.001    0.000    5.939    1.980 dispatcher.py:907(compile)
     48/3    0.000    0.000    5.939    1.980 dispatcher.py:124(compile)
     48/3    0.000    0.000    5.939    1.980 dispatcher.py:131(_compile_cached)
     48/3    0.001    0.000    5.939    1.980 dispatcher.py:146(_compile_core)
     48/3    0.000    0.000    5.938    1.979 compiler.py:725(compile_extra)
 2478/340    0.003    0.000    5.730    0.017 compiler_lock.py:32(_acquire_compile_lock)
     60/3    0.000    0.000    5.720    1.907 compiler.py:439(compile_extra)
     60/3    0.000    0.000    5.718    1.906 compiler.py:508(_compile_bytecode)
     74/3    0.001    0.000    5.718    1.906 compiler.py:462(_compile_core)
     74/3    0.002    0.000    5.718    1.906 compiler_machinery.py:342(run)
  1692/90    0.024    0.000    5.716    0.064 compiler_machinery.py:268(_runPass)
 5076/270    0.003    0.000    5.691    0.021 compiler_machinery.py:272(check)
    74/40    0.002    0.000    4.184    0.105 typed_passes.py:437(run_pass)
    74/40    0.000    0.000    3.319    0.083 lowering.py:182(lower)
    74/40    0.000    0.000    3.134    0.078 lowering.py:218(lower_normal_function)
    74/40    0.001    0.000    3.122    0.078 lowering.py:235(lower_function_body)
  288/110    0.005    0.000    3.121    0.028 lowering.py:260(lower_block)
   176/74    0.000    0.000    2.934    0.040 functions.py:534(get_call_type)
   176/74    0.001    0.000    2.933    0.040 dispatcher.py:348(get_call_template)
    76/25    0.001    0.000    2.867    0.115 typed_passes.py:68(type_inference_stage)
    76/25    0.001    0.000    2.846    0.114 typeinfer.py:1072(propagate)
   153/50    0.004    0.000    2.845    0.057 typeinfer.py:147(propagate)
    74/25    0.001    0.000    2.816    0.113 typed_passes.py:105(run_pass)
 1299/646    0.004    0.000    2.803    0.004 typeinfer.py:585(resolve)
 1410/665    0.001    0.000    2.796    0.004 context.py:189(resolve_function_type)
 1410/665    0.002    0.000    2.794    0.004 context.py:233(_resolve_user_function_type)
 1299/646    0.001    0.000    2.793    0.004 typeinfer.py:1539(resolve_call)
  542/234    0.002    0.000    2.758    0.012 typeinfer.py:575(__call__)
 1769/212    0.001    0.000    2.439    0.012 parfor_lowering.py:49(lower_inst)
 1365/881    0.012    0.000    2.427    0.003 functions.py:281(get_call_type)
       14    0.000    0.000    2.384    0.170 parfor_lowering.py:65(_lower_parfor_parallel)
       14    0.001    0.000    2.384    0.170 parfor_lowering.py:72(_lower_parfor_parallel_std)
5193/3334    0.004    0.000    2.361    0.001 templates.py:349(apply)
  696/191    0.001    0.000    2.304    0.012 templates.py:607(generic)
  696/191    0.001    0.000    2.297    0.012 templates.py:698(_get_impl)
   129/73    0.001    0.000    2.291    0.031 templates.py:749(_build_impl)
       14    0.001    0.000    1.691    0.121 parfor_lowering.py:1030(_create_gufunc_for_parfor_body)
    45984    1.335    0.000    1.665    0.000 ffi.py:190(__call__)
       14    0.000    0.000    1.575    0.112 compiler.py:754(compile_ir)
       14    0.000    0.000    1.570    0.112 compiler.py:447(compile_ir)
       14    0.000    0.000    1.570    0.112 compiler.py:515(_compile_ir)
      103    0.001    0.000    1.429    0.014 codegen.py:739(finalize)
  551/327    0.000    0.000    1.424    0.004 codegen.py:565(_ensure_finalized)
3756/3011    0.008    0.000    1.235    0.000 lowering.py:442(lower_inst)
       87    0.002    0.000    1.174    0.013 __init__.py:1(<module>)
1681/1366    0.002    0.000    1.013    0.001 lowering.py:650(lower_assign)
       62    0.000    0.000    0.990    0.016 cpu.py:225(get_executable)
  942/793    0.003    0.000    0.986    0.001 lowering.py:1170(lower_expr)
       62    0.000    0.000    0.985    0.016 codegen.py:975(get_pointer_to_function)
 1515/714    0.003    0.000    0.875    0.001 <frozen importlib._bootstrap>:1349(_find_and_load)
   844/50    0.002    0.000    0.873    0.017 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   815/51    0.001    0.000    0.870    0.017 <frozen importlib._bootstrap>:911(_load_unlocked)
   723/50    0.001    0.000    0.868    0.017 <frozen importlib._bootstrap_external>:989(exec_module)
  2059/66    0.002    0.000    0.865    0.013 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
  613/474    0.001    0.000    0.848    0.002 base.py:1189(__call__)
  613/474    0.001    0.000    0.847    0.002 base.py:1218(wrapper)
38387/37382    0.019    0.000    0.822    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
   655/69    0.001    0.000    0.819    0.012 {built-in method builtins.__import__}
      103    0.000    0.000    0.800    0.008 codegen.py:781(_finalize_final_module)
    32/30    0.000    0.000    0.654    0.022 base.py:876(compile_internal)
      103    0.000    0.000    0.649    0.006 codegen.py:996(_finalize_specific)
  251/216    0.001    0.000    0.640    0.003 lowering.py:900(lower_call)
    32/30    0.000    0.000    0.639    0.021 base.py:847(compile_subroutine)
    12/11    0.000    0.000    0.638    0.058 base.py:809(_compile_subroutine_no_cache)
      178    0.001    0.000    0.634    0.004 codegen.py:723(add_ir_module)
  236/206    0.001    0.000    0.634    0.003 lowering.py:1142(_lower_call_normal)
      185    0.000    0.000    0.586    0.003 codegen.py:1058(wrapper)
      103    0.000    0.000    0.585    0.006 executionengine.py:94(finalize_object)
    12/11    0.000    0.000    0.566    0.051 compiler.py:818(compile_internal)
       14    0.001    0.000    0.552    0.039 parfor_lowering.py:1614(call_parallel_gufunc)
      103    0.000    0.000    0.524    0.005 codegen.py:667(_optimize_final_module)
      206    0.000    0.000    0.523    0.003 passmanagers.py:676(run)
     1831    0.002    0.000    0.490    0.000 pprint.py:57(pformat)
     1831    0.002    0.000    0.487    0.000 pprint.py:159(pformat)
44093/1831    0.029    0.000    0.485    0.000 pprint.py:171(_format)
      251    0.000    0.000    0.440    0.002 codegen.py:719(add_linking_library)
478165/82754    0.244    0.000    0.381    0.000 ir.py:318(_rec_list_vars)
