#=====================================================
# File created:        Sun-23-Feb-2025-at-02-15-38PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.970927
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2535.9989  0.2607 
   00001    0.6952   -3722.6922  0.2773 
   00002    0.6132   -4546.2722  0.2859 
   00003    0.5740   -5013.0921  0.2843 
   00004    0.5760   -5308.7375  0.2885 
   00005    0.5608   -5647.0577  0.2970 
   00006    0.5304   -6007.0108  0.3011 
   00007    0.5036   -6244.4906  0.3092 
   00008    0.5008   -6468.9223  0.3100 
   00009    0.5000   -6666.6663  0.3101 
   00010    0.4744   -6832.0119  0.3072 
   00011    0.4976   -6916.5176  0.3155 
   00012    0.4620   -7039.7737  0.3157 
   00013    0.4712   -7140.1789  0.3157 
   00014    0.4704   -7239.7873  0.3139 
   00015    0.4648   -7299.1225  0.3204 
   00016    0.4572   -7445.9235  0.3225 
   00017    0.4368   -7507.9295  0.3247 
   00018    0.4504   -7576.2012  0.3216 
   00019    0.4300   -7616.9819  0.3263 
   00020    0.4372   -7658.9041  0.3349 
   00021    0.4592   -7691.7768  0.3353 
   00022    0.4408   -7762.3934  0.3407 
   00023    0.4428   -7815.2710  0.3432 
   00024    0.4452   -7773.3738  0.3424 
   00025    0.4504   -7795.4072  0.3492 
   00026    0.4348   -7850.1176  0.3491 
   00027    0.4360   -7896.1419  0.3411 
   00028    0.4280   -7877.8260  0.3510 
   00029    0.4504   -7894.5530  0.3551 
   00030    0.4308   -7897.8316  0.3537 
   00031    0.4340   -7931.3978  0.3576 
   00032    0.4372   -7996.9277  0.3554 
   00033    0.4172   -8025.2207  0.3529 
   00034    0.4308   -8056.2982  0.3513 
   00035    0.4296   -8068.1645  0.3552 
   00036    0.4144   -8027.3046  0.3538 
   00037    0.4420   -8073.4089  0.3549 
   00038    0.4392   -8063.7475  0.3530 
   00039    0.4236   -8068.4123  0.3510 
   00040    0.4352   -8076.3501  0.3467 
   00041    0.4292   -8102.4649  0.3440 
   00042    0.4184   -8150.6953  0.3412 
   00043    0.4248   -8123.8174  0.3418 
   00044    0.4260   -8151.3917  0.3377 
   00045    0.4072   -8122.5450  0.3370 
   00046    0.4308   -8133.4141  0.3317 
   00047    0.4308   -8120.1613  0.3425 
   00048    0.4252   -8088.8171  0.3442 
   00049    0.4148   -8059.8181  0.3418 
   00050    0.4280   -8102.0640  0.3375 
