#=====================================================
# File created:        Fri-21-Feb-2025-at-06-39-49PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.930514
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2540.9045  0.2610 
   00001    0.6740   -3722.7443  0.2691 
   00002    0.6268   -4498.2637  0.2725 
   00003    0.5760   -5054.3500  0.2778 
   00004    0.5500   -5409.6850  0.2729 
   00005    0.5592   -5812.6166  0.2635 
   00006    0.5368   -6101.4349  0.2641 
   00007    0.5172   -6296.4223  0.2676 
   00008    0.5100   -6466.8877  0.2701 
   00009    0.4872   -6642.3894  0.2689 
   00010    0.4752   -6812.0880  0.2602 
   00011    0.4728   -6939.9737  0.2561 
   00012    0.4504   -7042.5522  0.2607 
   00013    0.4736   -7121.7183  0.2700 
   00014    0.4688   -7206.8536  0.2647 
   00015    0.4564   -7312.0293  0.2631 
   00016    0.4620   -7376.9788  0.2667 
   00017    0.4508   -7457.4794  0.2594 
   00018    0.4420   -7479.1859  0.2604 
   00019    0.4664   -7482.3823  0.2608 
   00020    0.4484   -7557.9631  0.2535 
   00021    0.4512   -7566.3298  0.2575 
   00022    0.4396   -7583.4672  0.2628 
   00023    0.4536   -7663.1835  0.2658 
   00024    0.4396   -7676.9974  0.2622 
   00025    0.4336   -7693.2702  0.2672 
   00026    0.4348   -7698.6739  0.2624 
   00027    0.4520   -7726.7163  0.2605 
   00028    0.4468   -7771.5918  0.2591 
   00029    0.4524   -7772.5028  0.2651 
   00030    0.4496   -7768.5948  0.2630 
   00031    0.4252   -7832.9564  0.2682 
   00032    0.4228   -7830.3374  0.2717 
   00033    0.4236   -7857.9580  0.2713 
   00034    0.4404   -7868.8952  0.2702 
   00035    0.4120   -7863.5518  0.2755 
   00036    0.4352   -7872.8100  0.2818 
   00037    0.4220   -7863.6822  0.2766 
   00038    0.4428   -7914.8462  0.2789 
   00039    0.4380   -7929.9114  0.2762 
   00040    0.4452   -7914.1896  0.2752 
   00041    0.4328   -7919.6909  0.2681 
   00042    0.4296   -7889.8558  0.2767 
   00043    0.4420   -7876.7844  0.2799 
   00044    0.4380   -7901.6319  0.2824 
   00045    0.4216   -7965.4956  0.2806 
   00046    0.4528   -8020.1583  0.2874 
   00047    0.4372   -8032.0440  0.2964 
   00048    0.4212   -8050.4042  0.2927 
   00049    0.4240   -8017.8090  0.2865 
   00050    0.4296   -8021.4085  0.2832 
