#=====================================================
# File created:        Fri-21-Feb-2025-at-06-39-35PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.916027
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2453.1557  0.2670 
   00001    0.6748   -3717.6064  0.2673 
   00002    0.6116   -4526.7396  0.2851 
   00003    0.5648   -5073.5209  0.2967 
   00004    0.5660   -5519.2467  0.2960 
   00005    0.5192   -5862.9460  0.3041 
   00006    0.5260   -6199.7446  0.3003 
   00007    0.5028   -6386.5014  0.3119 
   00008    0.5056   -6587.2104  0.3089 
   00009    0.4940   -6677.7312  0.3096 
   00010    0.4932   -6755.4819  0.3037 
   00011    0.4884   -6901.3329  0.3118 
   00012    0.4796   -7011.8728  0.3127 
   00013    0.4652   -7154.6155  0.3221 
   00014    0.4496   -7228.1018  0.3307 
   00015    0.4564   -7256.3278  0.3302 
   00016    0.4492   -7347.7919  0.3302 
   00017    0.4580   -7448.0665  0.3346 
   00018    0.4396   -7476.3872  0.3513 
   00019    0.4592   -7494.7414  0.3555 
   00020    0.4596   -7530.9286  0.3528 
   00021    0.4556   -7531.3339  0.3536 
   00022    0.4532   -7575.6020  0.3663 
   00023    0.4276   -7648.8022  0.3698 
   00024    0.4568   -7694.5845  0.3705 
   00025    0.4376   -7710.5997  0.3763 
   00026    0.4440   -7706.8809  0.3751 
   00027    0.4340   -7671.4832  0.3782 
   00028    0.4548   -7703.7617  0.3792 
   00029    0.4344   -7718.0729  0.3849 
   00030    0.4352   -7746.7984  0.3802 
   00031    0.4240   -7799.9255  0.3766 
   00032    0.4344   -7805.8751  0.3810 
   00033    0.4384   -7828.0208  0.3792 
   00034    0.4396   -7884.0056  0.3825 
   00035    0.4296   -7897.3435  0.3825 
   00036    0.4144   -7861.6750  0.3861 
   00037    0.4184   -7908.6879  0.3941 
   00038    0.4312   -7936.9557  0.3975 
   00039    0.4380   -7933.7823  0.3930 
   00040    0.4300   -7980.6832  0.3820 
   00041    0.4236   -7948.7943  0.3757 
   00042    0.4236   -7979.3979  0.3711 
   00043    0.4444   -7969.0646  0.3791 
   00044    0.4316   -8011.3683  0.3863 
   00045    0.4384   -8020.1693  0.3837 
   00046    0.4292   -8023.5154  0.3865 
   00047    0.4384   -8020.4997  0.3900 
   00048    0.4500   -8014.8993  0.3887 
   00049    0.4324   -8047.7754  0.3876 
   00050    0.4224   -8043.8475  0.3835 
