#=====================================================
# File created:        Fri-21-Feb-2025-at-06-37-03PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.881228
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2547.3193  0.2866 
   00001    0.6672   -3709.3284  0.2995 
   00002    0.6208   -4506.8285  0.2956 
   00003    0.6052   -5079.3065  0.2906 
   00004    0.5740   -5477.1573  0.2900 
   00005    0.5524   -5912.7597  0.2956 
   00006    0.5080   -6159.1131  0.2938 
   00007    0.5132   -6413.5348  0.2987 
   00008    0.4968   -6606.9695  0.2945 
   00009    0.4672   -6793.1396  0.3013 
   00010    0.4744   -6926.2339  0.3048 
   00011    0.4708   -6991.4702  0.3087 
   00012    0.4612   -7149.3678  0.3072 
   00013    0.4532   -7195.0001  0.3061 
   00014    0.4572   -7250.8723  0.3069 
   00015    0.4632   -7331.9233  0.3087 
   00016    0.4580   -7387.1295  0.3081 
   00017    0.4572   -7404.3888  0.3024 
   00018    0.4648   -7458.0378  0.3059 
   00019    0.4368   -7545.5217  0.3065 
   00020    0.4508   -7604.0276  0.3097 
   00021    0.4424   -7657.7528  0.3188 
   00022    0.4428   -7700.9277  0.3197 
   00023    0.4496   -7720.1819  0.3229 
   00024    0.4444   -7754.1366  0.3172 
   00025    0.4380   -7855.3530  0.3157 
   00026    0.4344   -7839.1950  0.3167 
   00027    0.4372   -7840.9862  0.3239 
   00028    0.4340   -7823.3176  0.3258 
   00029    0.4340   -7880.9337  0.3266 
   00030    0.4340   -7951.0003  0.3251 
   00031    0.4172   -7990.5282  0.3268 
   00032    0.4328   -8042.7359  0.3257 
   00033    0.4280   -8014.1077  0.3267 
   00034    0.4192   -8005.1223  0.3247 
   00035    0.4124   -8014.0713  0.3287 
   00036    0.4264   -8022.5395  0.3298 
   00037    0.4360   -8017.0816  0.3368 
   00038    0.4304   -8032.4136  0.3338 
   00039    0.4452   -8022.4458  0.3322 
   00040    0.4292   -8048.6855  0.3345 
   00041    0.4352   -8098.9388  0.3302 
   00042    0.4268   -8117.1699  0.3325 
   00043    0.4252   -8114.0059  0.3347 
   00044    0.4236   -8090.2567  0.3280 
   00045    0.4180   -8140.8833  0.3387 
   00046    0.4212   -8085.2334  0.3460 
   00047    0.4164   -8062.5880  0.3486 
   00048    0.4108   -8089.7328  0.3461 
   00049    0.4408   -8102.4566  0.3475 
   00050    0.4316   -8094.8635  0.3571 
