#=====================================================
# File created:        Fri-21-Feb-2025-at-06-47-41PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.051384
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2511.0862  0.2579 
   00001    0.6804   -3718.9678  0.2632 
   00002    0.6092   -4512.4269  0.2719 
   00003    0.5752   -5119.6875  0.2860 
   00004    0.5544   -5539.9785  0.2915 
   00005    0.5352   -5818.8289  0.3011 
   00006    0.5152   -6071.4683  0.3094 
   00007    0.5216   -6341.3839  0.3147 
   00008    0.5028   -6492.7943  0.3240 
   00009    0.5104   -6664.0089  0.3388 
   00010    0.4860   -6836.1405  0.3523 
   00011    0.4700   -6955.4684  0.3571 
   00012    0.4760   -7075.8075  0.3635 
   00013    0.4780   -7175.6291  0.3637 
   00014    0.4464   -7236.2597  0.3679 
   00015    0.4656   -7234.4671  0.3656 
   00016    0.4564   -7296.5323  0.3594 
   00017    0.4668   -7367.6269  0.3601 
   00018    0.4564   -7399.3850  0.3648 
   00019    0.4316   -7452.7681  0.3604 
   00020    0.4428   -7511.9800  0.3583 
   00021    0.4592   -7530.7643  0.3585 
   00022    0.4636   -7580.5166  0.3680 
   00023    0.4460   -7588.3684  0.3738 
   00024    0.4404   -7611.4036  0.3817 
   00025    0.4544   -7685.5266  0.3887 
   00026    0.4236   -7757.1562  0.3915 
   00027    0.4216   -7791.7435  0.3993 
   00028    0.4292   -7770.5679  0.4068 
   00029    0.4548   -7788.5996  0.4102 
   00030    0.4524   -7880.4221  0.4156 
   00031    0.4284   -7937.7912  0.4126 
   00032    0.4288   -7940.3436  0.4146 
   00033    0.4172   -7947.8152  0.4164 
   00034    0.4388   -7968.6048  0.4158 
   00035    0.4304   -8030.9560  0.4179 
   00036    0.4404   -8045.8790  0.4254 
   00037    0.4380   -8027.2329  0.4290 
   00038    0.4236   -8007.0938  0.4318 
   00039    0.4316   -8022.0539  0.4307 
   00040    0.4280   -8025.2045  0.4375 
   00041    0.4160   -8037.3571  0.4396 
   00042    0.4264   -8059.3320  0.4413 
   00043    0.4472   -7996.5720  0.4391 
   00044    0.4396   -8006.3711  0.4431 
   00045    0.4404   -8009.7513  0.4461 
   00046    0.4560   -8009.2866  0.4414 
   00047    0.4256   -8031.3289  0.4430 
   00048    0.4392   -8045.8090  0.4460 
   00049    0.4216   -8038.2833  0.4445 
   00050    0.4316   -8047.5464  0.4484 
